,"New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population"
"Countries, territories and areas","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
"Afghanistan","0.17","0.474","0.565","0.815","1.157","1.267","1.385","1.291","1.215","1.277","1.241"
"Albania","0","No data","No data","0","No data","No data","No data","0","No data","No data","No data"
"Algeria","0","0.05","0","0","0","No data","0","No data","0","No data","No data"
"Andorra","12.53","0","0","0","No data","0","0","0","No data","No data","No data"
"Angola","24.17","23.099","12.84","22.655","27.491","20.313","21.483","No data","No data","39.587","20.701"
"Antigua and Barbuda","No data","0","No data","0","No data","0","No data","No data","0","No data","0"
"Argentina","3.12","3.158","2.899","4.712","6.064","5.647","6.728","6.679","7.511","7.455","7.545"
"Armenia","0","No data","0","No data","0","0","0","0","No data","No data","No data"
"Australia","0.19","0.502","0.157","0.397","0.241","0.409","0.788","0.542","0.381","0.557","0.174"
"Austria","0","No data","0","No data","No data","0","0","0","No data","No data","No data"
"Azerbaijan","No data","No data","No data","No data","No data","No data","0","0","No data","No data","No data"
"Bahamas","2.44","0","No data","0","0","No data","0","2.577","0","No data","No data"
"Bahrain","0.68","2.050","1.175","No data","0.637","1.34","2.105","4.357","No data","No data","No data"
"Bangladesh","17.46","16.958","22.87","22.313","23.107","22.797","18.41","24.696","22.85","20.058","23.84"
"Barbados","3.55","0","No data","0","No data","No data","No data","No data","0","No data","No data"
"Belarus","No data","0","0","0","0","0","No data","0","No data","No data","No data"
"Belgium","0","No data","No data","0.173","0.087","0","0.264","No data","No data","No data","No data"
"Belize","0","No data","No data","2.562","0","2.669","0","No data","0","0","0"
"Benin","4.42","5.924","8.166","9.236","13.409","13.422","No data","15.993","18.114","24.604","24.177"
"Bhutan","12.78","21.865","11.002","23.588","15.907","14.859","12.535","18.068","20.9","22.548","24.265"
"Bolivia (Plurinational State of)","3.11","2.566","2.484","6.167","4.58","5.61","6.337","No data","0","No data","No data"
"Bosnia and Herzegovina","0","0","No data","No data","0","0","0","0","No data","No data","No data"
"Botswana","1.14","No data","No data","No data","1.775","0.436","No data","No data","No data","No data","0.499"
"Brazil","91.19","85.468","84.583","132.021","136.822","128.411","121.443","126.992","153.757","154.94","167.642"
"Brunei Darussalam","0","4.491","2.286","0","2.331","4.665","0","0","2.363","0","4.852"
"Bulgaria","0","No data","0","0","No data","No data","No data","No data","No data","No data","No data"
"Burkina Faso","9.35","11.312","7.989","7.283","9.265","10.003","11.155","10.328","11.941","14.94","19.016"
"Burundi","36.54","35.056","No data","No data","30.335","36.818","40.954","No data","No data","No data","No data"
"Cote d'Ivoire","17.15","18.706","19.524","22.048","25.729","31.818","37.77","39.248","43.74","57.541","51.916"
"Cabo Verde","8.43","No data","No data","21.821","20.229","16.472","No data","No data","No data","No data","No data"
"Cambodia","4.23","2.29","2.273","167.292","9.292","8.56","9.77","No data","13.629","24.645","31.955"
"Cameroon","7.02","5.552","6.705","6.672","5.393","10.352","12.031","15.464","13.892","19.817","23.134"
"Canada","No data","0.16","No data","No data","0","0.137","No data","No data","0","No data","No data"
"Central African Republic","72.05","No data","No data","72.284","37.074","73.19","83.794","No data","14.44","21.445","33.59"
"Chad","25.22","17.637","20.273","27.968","22.096","25.034","6.158","No data","19.529","30.487","No data"
"Chile","0.10","0.513","0.366","0.211","0.374","0.277","0.056","0","0","0","No data"
"China","0.21","0.262","0.282","0.322","0.365","0.447","0.48","0.492","0.592","0.663","0.874"
"Colombia","5.67","5.280","3.773","6.734","6.524","7.378","6.454","7.236","8.645","8.899","8.217"
"Comoros","314.30","290.887","293.264","561.764","330.401","527.085","389.642","435.018","430.599","653.135","No data"
"Congo","52.43","26.046","21.022","No data","44.429","38.778","14.242","12.77","No data","11.916","No data"
"Cook Islands","0","0","No data","No data","0","No data","0","No data","0","0","No data"
"Costa Rica","1.93","1.746","1.178","1.981","6.801","2.242","3.294","2.08","2.43","5.336","1.249"
"Croatia","0","0","No data","0","No data","No data","No data","No data","No data","No data","No data"
"Cuba","12.49","7.196","10.153","16.412","19.404","16.544","16.208","18.175","18.652","20.594","22.891"
"Cyprus","No data","No data","0","0","No data","0","0","0","No data","No data","No data"
"Czechia","No data","No data","No data","No data","0","0","No data","0","No data","No data","No data"
"Democratic People's Republic of Korea","0","0","0","0","0","No data","No data","0","0","0","0"
"Democratic Republic of the Congo","37.57","43.256","37.795","34.935","39.527","44.861","47.818","54.836","47.174","55.455","54.897"
"Denmark","0","0","No data","0","No data","No data","0","0","No data","No data","No data"
"Djibouti","0","No data","0","No data","No data","No data","No data","13.516","No data","No data","2.327"
"Dominica","0","0","No data","0","0","No data","No data","No data","0","No data","0"
"Dominican Republic","8.64","13.312","6.822","16.296","20.514","11.424","11.738","13.107","35.141","12.303","12.066"
"Ecuador","2.28","1.461","0.794","5.065","2.458","2.647","1.099","No data","0","No data","5.551"
"Egypt","3.56","3.304","3.088","5.349","4.135","5.566","6.803","6.371","6.764","No data","7.978"
"El Salvador","0","0","0.463","0.155","0.934","0.627","0.158","0.653","0.783","0.158","0.476"
"Equatorial Guinea","8.96","2.447","6.415","11.062","17.571","8.677","8.187","17.75","No data","No data","5.433"
"Eritrea","0.81","0.276","0.282","0.858","1.738","0.592","No data","0.956","0.153","No data","No data"
"Estonia","0","No data","0","0","0","0","0","0","No data","No data","No data"
"Eswatini","No data","No data","No data","No data","No data","0.731","No data","No data","No data","No data","No data"
"Ethiopia","24.04","21.524","22.538","28.56","29.462","29.669","36.054","39.943","38.941","46.482","41.165"
"Fiji","4.30","3.245","No data","13.484","10.187","4.417","3.338","3.363","5.637","6.81","3.43"
"Finland","0","0","No data","0","0","No data","0","0","No data","No data","No data"
"France","0.28","0.186","0.107","0.154","0.138","0.123","No data","No data","No data","No data","No data"
"Gabon","0.84","0.427","1.348","1.841","5.662","2.963","9.092","11.592","9.35","No data","18.376"
"Gambia","3.70","3.788","2.069","6.389","3.07","0","No data","6.027","7.858","18.385","18.423"
"Georgia","0","No data","No data","No data","0","0","0","No data","No data","No data","No data"
"Germany","0.04","0.024","0","No data","0","No data","0.024","0.025","No data","No data","No data"
"Ghana","8.28","8.010","8.367","9.172","9.272","8.948","10.317","11.018","No data","No data","No data"
"Greece","No data","No data","No data","No data","No data","0","0","No data","No data","No data","No data"
"Grenada","0","No data","No data","0","0","No data","No data","No data","0","9.443","18.96"
"Guatemala","0.06","0.170","No data","0","0.348","0","0","No data","0","0.065","0"
"Guinea","13.57","14.115","16.904","21.298","22.474","18.793","19.684","14.593","20.01","32.95","38.249"
"Guinea-Bissau","6.65","2.912","4.573","No data","No data","17.193","12.117","No data","No data","No data","No data"
"Guyana","35.86","39.773","No data","34.493","64.184","86.134","67.244","41.716","34.84","25.012","23.888"
"Haiti","1.30","2.271","No data","3.551","3.866","3.278","No data","4.855","0","No data","No data"
"Honduras","No data","No data","No data","0","0.209","0.216","0.22","0.124","0.242","0.494","0.504"
"Hungary","0","No data","0","0","No data","No data","0","No data","No data","No data","No data"
"Iceland","0","0","0","No data","0","No data","0","0","No data","No data","No data"
"India","73.26","53.563","47.208","83.76","88.962","94.21","102.317","97.118","99.246","101.357","108.962"
"Indonesia","45.16","40.095","40.848","64.44","63.574","60.267","64.439","66.787","67.342","67.46","76.941"
"Iran (Islamic Republic of)","0.07","0.114","0.06","0.217","0.355","0.234","No data","0.215","0.28","0.271","0.275"
"Iraq","0.07","0","0.05","0.051","No data","No data","No data","0","0.086","0.089","0.031"
"Ireland","No data","No data","0.203","No data","No data","No data","No data","0","No data","No data","No data"
"Israel","No data","No data","0.231","No data","No data","No data","No data","0.248","No data","No data","No data"
"Italy","0.05","No data","No data","No data","0.082","0.135","0.202","No data","No data","No data","No data"
"Jamaica","0.71","No data","0","1.696","0.681","No data","1.735","No data","0","No data","No data"
"Japan","0.02","0.024","0.03","0.039","0.016","0.016","0.024","0.055","0.039","0.024","0.024"
"Jordan","0","0","0","0","0","0","0","0","0","0","0"
"Kazakhstan","0","No data","No data","0","No data","0.055","0","No data","No data","No data","No data"
"Kenya","1.65","1.472","No data","2.625","No data","0.523","No data","No data","2.547","No data","No data"
"Kiribati","1150.63","1194.966","1331.146","1156.384","1493.349","1606.543","1905.794","1601.096","1183.364","1338.544","932.651"
"Kuwait","1.87","1.882","2.342","No data","2.175","1.45","1.481","No data","2.874","5.344","4.922"
"Kyrgyzstan","0","No data","0","No data","No data","No data","No data","No data","No data","No data","No data"
"Lao People's Democratic Republic","1.46","3.098","5.91","7.95","10.055","13.123","9.47","12.937","15.085","12.408","13.241"
"Latvia","0","No data","0","0","No data","0","0","0","No data","No data","No data"
"Lebanon","0","0","0","0","0","0","0.167","0.513","0","No data","0.215"
"Lesotho","No data","No data","0","0.941","0.949","No data","0.908","0.937","0.954","No data","No data"
"Liberia","No data","68.741","No data","20.051","33.617","32.122","No data","No data","80.739","No data","No data"
"Libya","No data","0.148","0.291","0.295","0.749","0.157","0.159","1.274","1.119","No data","0.65"
"Lithuania","0","No data","0","0","0","No data","0","No data","No data","No data","No data"
"Luxembourg","0","No data","No data","0","0","No data","0","No data","No data","No data","No data"
"Madagascar","48.97","44.613","48.608","47.573","54.222","55.923","71.502","61.357","68.598","68.441","66.117"
"Malawi","18.13","11.815","15.055","No data","18.795","18.849","15.035","No data","No data","No data","No data"
"Malaysia","4.83","4.229","5.407","6.103","5.773","6.198","6.605","6.924","10.203","10.297","11.115"
"Maldives","15.27","0","1.85","9.417","13.574","13.751","14.027","8.25","25.599","8.695","20.683"
"Mali","3.50","4.611","6.864","9.258","8.492","9.384","8.002","12.614","16.425","11.502","15.35"
"Malta","No data","0","0","2.271","No data","0","0","0","No data","No data","No data"
"Marshall Islands","577.35","927.467","523.70","527.292","1010.049","No data","1507.567","1056.76","1534.963","1766.952","2606.842"
"Mauritania","3.59","3.467","0","2.431","6.813","6.335","No data","4.425","No data","No data","No data"
"Mauritius","0.77","No data","1.57","No data","0.789","0","No data","No data","No data","No data","No data"
"Mexico","1.04","1.050","0.822","1.427","1.078","1.146","1.192","1.362","1.68","1.406","1.787"
"Micronesia (Federated States of)","805.86","786.699","1121.534","1265.256","1127.486","1336.012","1610.506","1569.979","1713.136","1883.203","2437.255"
"Monaco","0","0","0","0","0","0","0","No data","No data","No data","No data"
"Mongolia","0","0","0","0","0","0","0","No data","0","0","0"
"Montenegro","0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Morocco","0.37","0.378","0.19","0.411","0.611","0.364","0.709","0.785","0.746","1.151","1.168"
"Mozambique","79.10","82.27","66.069","73.108","82.113","64.917","44.711","47.716","No data","No data","30.075"
"Myanmar","22.78","11.060","34.498","46.035","41.223","42.701","49.333","47.702","53.557","55.39","57.067"
"Namibia","13.25","No data","10.626","8.819","6.944","4.341","No data","No data","No data","No data","No data"
"Nauru","No data","239.770","No data","1114.827","749.766","No data","No data","195.669","0","198.965","199.422"
"Nepal","74.80","79.707","79.075","134.365","115.64","109.708","105.373","96.48","108.319","116.018","127.1"
"Netherlands (Kingdom of the)","0.10","No data","0.233","No data","0.117","0.176","0.294","No data","No data","No data","No data"
"New Zealand","0.77","0.975","0.622","1.254","0.632","0.638","No data","0.662","0.879","0.666","0.224"
