,"2022","2022","2022","2022","2022","2022","2021","2021","2021","2021","2021","2021","2020","2020","2020","2020","2020","2020","2019","2019","2019","2019","2019","2019","2018","2018","2018","2018","2018","2018","2017","2017","2017","2017","2017","2017","2016","2016","2016","2016","2016","2016","2015","2015","2015","2015","2015","2015","2014","2014","2014","2014","2014","2014","2013","2013","2013","2013","2013","2013","2012","2012","2012","2012","2012","2012","2011","2011","2011","2011","2011","2011","2010","2010","2010","2010","2010","2010","2009","2009","2009","2009","2009","2009","2008","2008","2008","2008","2008","2008","2007","2007","2007","2007","2007","2007","2006","2006","2006","2006","2006","2006","2005","2005","2005","2005","2005","2005","2004","2004","2004","2004","2004","2004","2003","2003","2003","2003","2003","2003","2002","2002","2002","2002","2002","2002","2001","2001","2001","2001","2001","2001","2000","2000","2000","2000","2000","2000"
,"Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)"
"Countries, territories and areas","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural"
"Afghanistan","56","70","51","","","","54","69","49","","","","53","67","48","","","","51","65","46","","","","49","63","45","","","","47","61","43","","","","46","59","41","","","","44","57","40","","","","42","54","38","","","","41","52","37","","","","39","50","35","","","","37","48","34","","","","35","46","32","","","","34","44","31","","","","32","42","29","","","","30","40","27","","","","29","39","26","","","","27","37","24","","","","26","35","23","","","","24","34","21","","","","23","32","20","","","","21","31","18","","","","21","31","18","","",""
"Albania","99","99","99","56","50","","99","99","99","54","47","","99","99","99","53","45","","99","99","99","50","43","","99","99","99","48","41","","99","99","98","46","38","","98","99","97","44","36","","98","99","96","42","34","","97","98","96","39","32","","97","98","95","37","30","","96","98","94","35","28","","96","98","93","34","27","","95","98","92","34","27","","95","98","91","33","27","","94","98","91","32","26","","94","98","90","31","26","","93","97","89","31","26","","92","97","88","30","25","","92","97","87","29","25","","91","97","86","28","25","","91","97","86","28","25","","90","97","85","27","25","","89","97","84","27","25",""
"Algeria","86","88","80","62","65","56","86","88","80","62","65","56","86","88","79","62","65","56","86","89","79","62","65","55","86","89","79","62","65","55","86","89","79","62","65","55","87","90","79","62","66","54","87","90","78","62","66","54","87","91","78","62","66","54","87","91","78","62","66","53","87","91","78","62","66","53","87","92","77","62","67","53","87","92","77","62","67","52","87","92","77","62","66","52","87","92","76","61","66","52","86","92","76","61","66","51","86","92","76","61","66","51","86","92","75","60","66","50","86","92","75","60","66","50","85","92","75","60","66","50","85","92","74","60","66","49","85","92","74","59","66","49","84","92","74","59","66","48"
"Andorra","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","98","98","98","100","100","100","94","94","94","100","100","100","89","89","89","100","100","100","84","84","84","100","100","100","80","80","80","100","100","100","75","75","75","100","100","100","71","71","71","100","100","100","66","66","66","100","100","100","61","61","61","100","100","100","57","57","57","100","100","100","52","52","52","100","100","100","48","48","48","100","100","100","43","43","43","100","100","100","38","38","38","100","100","100","34","34","34","100","100","100","29","29","29"
"Angola","52","65","24","","","","52","65","24","","","","52","65","24","","","","51","65","24","","","","51","65","24","","","","50","64","23","","","","49","63","22","","","","47","62","21","","","","46","61","20","","","","45","60","20","","","","44","59","19","","","","42","58","18","","","","41","57","17","","","","40","56","16","","","","39","55","15","","","","37","54","14","","","","36","53","13","","","","35","52","12","","","","33","51","11","","","","32","50","10","","","","30","49","9","","","","29","49","8","","","","28","48","8","","",""
"Antigua and Barbuda","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","97","95","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","","98","","","46","","","98","","","46","","","98","","","46","","","98","","","46","","","97","","","46","","","97","","","46","","95","96","77","46","46","","94","96","77","46","46","","94","96","77","46","46","","94","95","77","46","46","","93","95","77","46","46","","93","94","76","46","46","","92","94","75","46","45","","92","94","75","46","45","","91","93","74","45","45","","91","93","73","45","45","","90","92","73","45","45","","90","92","72","45","45","","90","92","71","45","45","","89","91","71","45","45","","89","91","70","45","45","","88","90","69","45","44","","88","90","69","45","44",""
